qdpra,-4.293333333,6.49919632060973,down
zgc:136930,-2.634933333,2.00045806164713,down
apoa4b.2,-3.055533333,4.62294590671043,down
col11a1b,-2.0164,3.1035668530042,down
postna,-2.462,2.46562424412149,down
LOC100000275,-3.834466667,3.14615988510807,down
apoba,-3.482066667,2.68876319120007,down
myh11b,-2.1266,3.82900989324094,down
LOC100329690,-4.694933333,5.55192523129207,down
fga,-1.8916,2.67069624492709,down
apoc2,-3.7906,6.0748039765724,down
vtg4,-2.008066667,3.50245091207747,down
apoc1l,-2.120266667,8.85223797744223,down
vcanb,-3.772466667,6.65881946520672,down
grna,-3.490133333,4.71060368883006,down
zgc:172244,-5.125333333,11.1893399527809,down
vtg4,-1.587733333,7.85870269663336,down
itih3a,-5.6832,13.7753561119183,down
hpdb,-2.485466667,6.0345050359654,down
vim,-1.9102,1.56249615882268,down
si:dkey-183i3.5,-2.433466667,1.64157916874798,down
apoa4b.1,-3.3488,6.67270358447481,down
capn12,-5.402,11.1717139895805,down
bhmt,-2.5958,5.21778493701645,down
vtg5,-1.973666667,2.15620182340221,down
,-2.6318,1.305441098509,down
gstal,-2.145133333,1.67383345645768,down
c3a.2,-1.823466667,1.52539318452155,down
si:dkey-65b12.6,-4.092066667,3.90982059877048,down
a2ml,-1.6966,2.1418173298451,down
elnb,-2.591733333,2.93435307378586,down
mbpb,-2.206333333,5.10251696443944,down
fah,-1.7362,1.71329037204655,down
LOC100538255,-3.823,7.44015661804085,down
aldh1l1,-2.231533333,1.82918466135024,down
hsd17b7,-2.840466667,2.87779208191462,down
vtg1,-1.269666667,13.1477137131767,down
hapln1a,-7.948333333,11.2564580955335,down
vtg2,-2.200666667,4.92938153728317,down
itih2,-4.928466667,9.64949376524798,down
agr2,-3.229,4.71060368883006,down
apobb.1,-4.579333333,9.3351597231095,down
gyg1b,-2.8762,2.0414040631146,down
hgd,-3.3994,6.07518015198085,down
postnb,-1.462866667,5.32640710393491,down
pah,-3.333333333,4.22622835206059,down
eif3l,-1.7492,1.46409875825104,down
fgg,-2.2666,2.18922266527225,down
aldh1a2,-2.683266667,3.47344958163345,down
fgfbp2a,-3.831333333,5.1472308954706,down
si:dkeyp-93a5.3,-1.664266667,2.20093505482354,down
si:dkeyp-70f9.7,-1.867,2.90404882606274,down
muc5.2,-5.481866667,10.6244348808281,down
cyp8b3,-3.071333333,2.32087113598274,down
zgc:123103,-1.025666667,4.82853062762463,down
si:ch73-237c6.1,-1.445533333,2.71155296676408,down
lrrc15,-1.460733333,1.94718996370806,down
aimp1,-1.309933333,1.30130469149828,down
apoa2,-1.084733333,4.38549936688476,down
rpia,-1.3758,1.86992255851004,down
cnp,-1.3016,2.20497613958013,down
apoa1b,-1.147266667,11.1339254286911,down
c9,-1.2812,1.8295058598077,down
comtd1,-1.5214,1.56075460505592,down
ccl25b,-1.393066667,1.51732524561672,down
cfb,-1.033,2.26396373619107,down
LOC100004057,-1.144133333,1.41533541491712,down
apoa1,-1.059133333,3.96869209722359,down
kng1,-1.460466667,1.99268141485588,down
serpina1l,-1.146666667,6.49919632060973,down
serpina1,-1.662333333,1.3145452625837,down
cp,-1.149666667,6.72218299857331,down
hpx,-1.229266667,3.51331801892199,down
aldh9a1a,-1.038933333,4.29095368169724,down
